technique,question_id,rank,store_score,cosine_sim,chunk_len,source_file,expected_source_file,recall_hit,latency_ms,preview
sentence_window,q3,1,0.724425,0.645132,161,msda_curriculum_courses.txt,applied_data_intelligence_ms_program.txt,True,16.553,Entertainment Waymo World Bank Learn more about what alumni from SJSU’s MS in Applied Data Intelligence - formerly the MS in Data Analytics - have accomplished.
sentence_window,q3,2,0.724354,0.645212,154,msda_curriculum_courses.txt,applied_data_intelligence_ms_program.txt,True,16.553,"SJSU’s Master of Science in Applied Data Intelligence elevates your technical proficiency and professional leadership, preparing you to drive innovation. "
sentence_window,q3,3,0.712977,0.695679,124,msda_curriculum_courses.txt,applied_data_intelligence_ms_program.txt,True,16.553,Apply to SJSU MSADI Program Frequently Asked Questions Want to learn more about our MS in Applied Data Intelligence degree? 
sentence_window,q3,4,0.704737,0.609269,146,msda_curriculum_courses.txt,applied_data_intelligence_ms_program.txt,True,16.553,Financial Aid Embrace Your Data-Driven Future at SJSU Earn your Master of Science in Applied Data Intelligence and make real-world change happen. 
sentence_window,q3,5,0.690282,0.707374,551,applied_data_intelligence_ms_program.txt,applied_data_intelligence_ms_program.txt,True,16.553,"Program: Applied Data Intelligence, MS - San José State University Source: https://catalog.sjsu.edu/preview_program.php?catoid=17&poid=13784  Applied Data Intel"
sentence_window,q4,1,0.744048,0.789405,241,registration_and_attendance.txt,registration_and_attendance.txt,True,13.959,"Late Fee Assessed  Students registering for classes after census are assessed a late registration fee of $200.00, which begins after census for any classes adde"
sentence_window,q4,2,0.610489,0.640341,214,registration_and_attendance.txt,registration_and_attendance.txt,True,13.959,"Adding Classes after the Last Day to Add: before the Census date, students can submit the Pre-census Late Enrollment petition form to the Registrar's office (va"
sentence_window,q4,3,0.599642,0.586032,101,adding_dropping_classes.txt,registration_and_attendance.txt,True,13.959,"For Regular Session students, late registration end dates are posted on the SJSU Registrar Calendar. "
sentence_window,q4,4,0.591505,0.62428,828,registration_and_attendance.txt,registration_and_attendance.txt,True,13.959,Registration and Attendance - San José State University Source: https://catalog.sjsu.edu/content.php?catoid=13&navoid=4897  Registration and Attendance  SJSU ID
sentence_window,q4,5,0.575318,0.543046,93,registration_and_attendance.txt,registration_and_attendance.txt,True,13.959,Students in the Step to College programs are not required to pay the late registration fee.  
sentence_window,q5,1,0.615126,0.653837,690,academic_calendar.txt,academic_calendar.txt,True,15.263,Calendar - San José State University Source: https://catalog.sjsu.edu/content.php?catoid=13&navoid=4974  Calendar  2022-2023 Academic Year  Academic Year: Augus
sentence_window,q5,2,0.531497,0.54636,101,adding_dropping_classes.txt,academic_calendar.txt,True,15.263,"For Regular Session students, late registration end dates are posted on the SJSU Registrar Calendar. "
sentence_window,q5,3,0.526945,0.573567,86,adding_dropping_classes.txt,academic_calendar.txt,True,15.263,"For Regular Session students, these dates are posted on the SJSU Registrar Calendar . "
sentence_window,q5,4,0.508073,0.465659,188,registration_and_attendance.txt,academic_calendar.txt,True,15.263,Course Offerings and Cancelled Classes  The courses listed in the online SJSU Schedule of Classes reflect the scheduled offerings by the departments available a
sentence_window,q5,5,0.491955,0.519823,828,registration_and_attendance.txt,academic_calendar.txt,True,15.263,Registration and Attendance - San José State University Source: https://catalog.sjsu.edu/content.php?catoid=13&navoid=4897  Registration and Attendance  SJSU ID
